Order ID,Customer ID,Email,Customer gender,Order date,Product category,Subcategory,Country,Region,Unit price,Unit sold,Payment mode,Profit,Customer satisfaction
O00041,C3085,mitchell13@yahoo.com,Male,2024-09-27,Beauty,Fragrance,Australia,West,309.68,10,Net Banking,649.05,Very Satisfied
O00042,C5978,breannaharmon@yahoo.com,Female,2024-09-11,Clothing,Women,UK,South,223.68,7,UPI,304.76,Satisfied
O00043,C2389,matthewheath@webster.org,Female,2024-08-17,Home,Furniture,USA,North,116.2,7,Debit Card,85.31,Satisfied
O00044,C8784,austin72@smith.info,Other,2024-03-24,Electronics,Laptops,Australia,West,360.58,13,Net Banking,843.43,Satisfied
O00045,C1090,robertsongeorge@wood.com,Male,2025-03-13,Beauty,Skincare,USA,South,29.86,8,Credit Card,45.7,Dissatisfied
O00046,C9702,leonardlee@thompson.com,Other,2024-02-09,Home,Kitchen,Australia,South,449.12,16,Net Banking,1091.1,Satisfied
O00047,C5543,tyronerussell@williamson-patton.com,Other,2024-02-29,Beauty,Fragrance,USA,North,222.74,10,Debit Card,343.78,Neutral
O00048,C9849,angela60@gmail.com,Male,2024-09-11,Clothing,Men,USA,South,348.51,7,Credit Card,446.38,Neutral
O00049,C9890,martin08@gmail.com,Female,2024-03-14,Beauty,Skincare,USA,South,197.79,19,Credit Card,1019.72,Very Dissatisfied
O00050,C7232,chadmartinez@hotmail.com,Female,2024-09-20,Electronics,Laptops,UK,South,427.46,14,UPI,1493.14,Very Dissatisfied
O00051,C4613,wcooke@herrera.com,Female,2024-12-12,Clothing,Women,Australia,South,19.37,11,Net Banking,52.17,Dissatisfied
O00052,C3091,yhendrix@hotmail.com,Other,2024-05-06,Electronics,Laptops,India,East,323.16,5,Net Banking,220.31,Neutral
O00053,C7211,zingram@gmail.com,Female,2023-08-27,Clothing,Women,UK,North,381.81,13,PayPal,1242.88,Dissatisfied
O00054,C5133,yzamora@livingston.biz,Male,2023-12-14,Beauty,Skincare,India,North,115.99,3,Credit Card,87.29,Satisfied
O00055,C4266,ashley34@lewis-cabrera.com,Male,2024-01-13,Clothing,Men,USA,South,336.38,19,Debit Card,1233.55,Neutral
O00056,C7043,cwells@gmail.com,Male,2025-01-03,Electronics,Smartphones,UK,East,291.45,10,UPI,686.28,Dissatisfied
O00057,C7498,kenneth82@gmail.com,Other,2024-09-03,Clothing,Men,USA,East,350.11,10,UPI,914.16,Very Dissatisfied
O00058,C1672,zthomas@yahoo.com,Female,2025-05-01,Beauty,Fragrance,UK,East,255.45,11,Credit Card,758.45,Dissatisfied
O00059,C2729,bakerjoseph@gmail.com,Female,2023-07-11,Home,Decor,Australia,West,220.57,17,PayPal,836.87,Very Dissatisfied
O00060,C8921,mitchellteresa@yahoo.com,Female,2024-10-25,Beauty,Fragrance,UK,North,426.6,3,PayPal,353.64,Satisfied
O00061,C8613,michael95@hotmail.com,Other,2024-10-18,Beauty,Makeup,India,South,426.22,6,Net Banking,364.22,Neutral
O00062,C6576,derrickmiller@gmail.com,Female,2024-07-27,Home,Decor,India,West,47.38,14,Net Banking,139.98,Satisfied
O00063,C8800,mlewis@gmail.com,Other,2025-04-09,Beauty,Makeup,India,East,150.65,13,Debit Card,315.78,Very Dissatisfied
O00064,C7046,simpsonjason@gmail.com,Female,2025-05-22,Home,Kitchen,UK,North,352.91,9,PayPal,477.32,Very Satisfied
O00065,C4155,nsantiago@gmail.com,Female,2025-06-10,Electronics,Tablets,USA,West,112.11,16,PayPal,439.32,Very Dissatisfied
O00066,C5636,ejohnson@johnson-flynn.com,Male,2023-10-15,Clothing,Women,USA,North,93.82,1,UPI,11.76,Very Satisfied
O00067,C1893,richarderik@gmail.com,Other,2025-03-14,Home,Decor,USA,South,55.78,1,UPI,8.75,Dissatisfied
O00068,C8216,tiffanyarellano@cameron-gilmore.com,Female,2023-08-31,Clothing,Men,UK,South,61.47,3,Net Banking,36.58,Very Dissatisfied
O00069,C1878,ygrimes@elliott-ross.com,Male,2023-12-05,Clothing,Children,UK,East,496.99,4,UPI,502.73,Very Dissatisfied
O00070,C4697,lance92@gmail.com,Other,2024-08-15,Beauty,Makeup,Australia,North,430.78,14,PayPal,1288.96,Very Satisfied
O00071,C2625,michael19@gmail.com,Male,2023-10-19,Clothing,Women,India,West,123.73,18,Credit Card,292.44,Dissatisfied
O00072,C8381,suzannesherman@brandt-davies.info,Other,2023-12-03,Beauty,Makeup,India,West,147.61,10,Net Banking,168.62,Satisfied
O00073,C5334,shannon37@hotmail.com,Other,2024-07-14,Clothing,Women,India,West,325.58,9,Debit Card,334.87,Satisfied
O00074,C6039,whitelacey@savage.org,Other,2023-12-25,Home,Kitchen,India,South,345.9,13,PayPal,899.76,Dissatisfied
O00075,C8172,ksilva@hotmail.com,Male,2025-01-22,Electronics,Laptops,UK,North,17.8,8,UPI,30.96,Very Satisfied
O00076,C5415,ulucas@hotmail.com,Other,2025-04-11,Electronics,Smartphones,Australia,South,458.46,6,UPI,514.88,Dissatisfied
O00077,C2494,mark08@hotmail.com,Female,2023-09-26,Home,Kitchen,UK,North,336.72,6,PayPal,368.36,Dissatisfied
O00078,C5722,ramirezthomas@hotmail.com,Other,2024-10-18,Beauty,Fragrance,India,South,48.59,9,PayPal,53.87,Dissatisfied
O00079,C9431,norriscarolyn@yahoo.com,Male,2023-08-17,Beauty,Makeup,India,West,261.63,20,Net Banking,1177.76,Very Satisfied
O00080,C4335,pamela65@petersen.com,Female,2024-01-27,Clothing,Women,Australia,South,65.11,20,Debit Card,315.08,Neutral
O00081,C1224,wdixon@hotmail.com,Other,2023-08-31,Beauty,Skincare,USA,East,233.42,4,Debit Card,186.43,Neutral
O00082,C9337,diazmichelle@perry.com,Other,2023-07-06,Home,Kitchen,Australia,South,125.65,18,Debit Card,399.68,Very Dissatisfied
O00083,C9327,salinaschristina@smith-hudson.org,Other,2025-04-29,Clothing,Men,UK,South,173.24,17,PayPal,777.82,Neutral
O00084,C5891,jesus36@wagner.com,Other,2024-03-01,Beauty,Skincare,Australia,South,175.84,18,UPI,555.3,Neutral
O00085,C4090,zwilliams@gmail.com,Other,2024-09-11,Clothing,Children,Australia,West,428.73,14,Credit Card,982.17,Dissatisfied
O00086,C7246,brandy43@strickland.net,Female,2023-10-04,Clothing,Women,India,West,253.63,19,PayPal,1320.11,Dissatisfied
O00087,C2633,crystalhernandez@gmail.com,Other,2023-11-20,Beauty,Skincare,USA,South,436.11,5,Credit Card,422.8,Neutral
O00088,C6546,pamela20@yahoo.com,Other,2024-07-17,Beauty,Fragrance,India,North,426.91,18,Net Banking,2234.83,Dissatisfied
O00089,C9864,ericstevenson@mccann.com,Male,2024-10-25,Electronics,Smartphones,UK,West,374.65,14,Credit Card,1322.15,Very Satisfied
O00090,C8269,michaelsummers@yahoo.com,Male,2024-07-01,Home,Furniture,India,North,399.09,10,PayPal,698.28,Satisfied
O00091,C5000,torressamantha@sharp-sweeney.biz,Other,2024-12-31,Beauty,Fragrance,USA,West,91.66,20,Net Banking,410.53,Satisfied
O00092,C9153,pblackwell@gmail.com,Other,2024-04-13,Clothing,Men,Australia,North,232.49,1,Net Banking,65.15,Very Dissatisfied
O00093,C3588,robinsonwyatt@yahoo.com,Male,2024-08-16,Beauty,Makeup,UK,South,346.71,15,PayPal,727.28,Dissatisfied
O00094,C8916,michaelnguyen@clay-huerta.info,Male,2023-10-11,Clothing,Women,UK,North,496.38,10,Credit Card,1467.24,Dissatisfied
O00095,C5497,chenjames@gmail.com,Male,2023-10-05,Electronics,Tablets,Australia,North,388.99,8,UPI,810.3,Satisfied
O00096,C4115,gmartinez@jones-hawkins.com,Other,2024-06-15,Home,Decor,USA,East,452.18,2,PayPal,233.07,Very Satisfied
O00097,C6977,serranonicholas@yahoo.com,Other,2024-09-17,Clothing,Men,UK,North,375.0,6,Debit Card,284.47,Very Dissatisfied
O00098,C6994,joshua47@smith-boyd.com,Other,2024-12-19,Home,Furniture,UK,South,483.86,10,PayPal,1262.13,Dissatisfied
O00099,C2233,meyerronnie@hernandez.net,Male,2024-06-13,Clothing,Children,Australia,North,49.7,13,Credit Card,98.78,Very Satisfied
O00100,C8451,wendywalker@yahoo.com,Female,2024-01-10,Home,Decor,Australia,North,58.63,8,Net Banking,49.25,Very Dissatisfied
O00101,C6374,daniel22@vasquez-pugh.org,Other,2023-11-29,Clothing,Children,India,South,455.15,10,Net Banking,561.36,Very Satisfied
O00102,C1609,jenkinscathy@hotmail.com,Female,2024-02-13,Beauty,Skincare,India,West,444.19,5,Net Banking,423.6,Very Dissatisfied
O00103,C7866,david40@jackson-thomas.com,Other,2025-05-31,Clothing,Women,India,South,309.75,9,Credit Card,663.64,Satisfied
O00104,C8264,robertsmichael@hotmail.com,Female,2025-04-22,Clothing,Women,India,North,274.51,12,Credit Card,591.72,Satisfied
O00105,C3001,walkervictoria@jones.info,Female,2024-09-04,Electronics,Tablets,USA,East,30.04,11,Debit Card,98.39,Very Dissatisfied
O00106,C4362,kenttimothy@atkinson.net,Male,2025-03-14,Clothing,Children,USA,West,167.64,5,UPI,84.3,Satisfied
O00107,C3129,jamesjones@brown-hopkins.info,Other,2024-06-02,Home,Furniture,India,East,70.24,12,Debit Card,183.55,Very Satisfied
O00108,C3854,estesaudrey@yahoo.com,Female,2024-05-16,Electronics,Smartphones,Australia,East,374.1,16,Net Banking,1529.94,Very Dissatisfied
O00109,C2786,uboyd@gmail.com,Female,2023-07-27,Clothing,Children,India,North,231.73,1,Credit Card,69.45,Dissatisfied
O00110,C7984,mitchellgabrielle@boyer.com,Other,2024-01-20,Electronics,Laptops,Australia,East,450.14,11,UPI,642.05,Satisfied
O00111,C5505,ngalvan@yahoo.com,Other,2023-08-07,Home,Kitchen,UK,South,255.25,14,Credit Card,924.18,Very Satisfied
O00112,C4522,justinsavage@jones.com,Female,2023-09-08,Beauty,Skincare,Australia,North,414.57,13,Net Banking,1325.38,Neutral
O00113,C7992,tiffanynielsen@garcia.com,Female,2025-06-08,Home,Kitchen,USA,South,38.23,3,Credit Card,21.38,Neutral
O00114,C3131,janiceriley@hotmail.com,Other,2024-06-10,Electronics,Tablets,UK,East,208.35,14,Credit Card,856.63,Very Dissatisfied
O00115,C6119,smithchristina@hotmail.com,Female,2024-12-04,Electronics,Tablets,USA,West,330.08,8,Credit Card,448.97,Very Dissatisfied
O00116,C7022,oneillnicholas@hotmail.com,Male,2025-04-28,Home,Decor,USA,South,423.35,20,UPI,1989.71,Very Dissatisfied
O00117,C1430,stevensonnathan@bryant-bailey.com,Other,2024-10-23,Home,Furniture,USA,North,352.84,10,PayPal,600.55,Satisfied
O00118,C3347,loriconner@gmail.com,Other,2024-04-27,Beauty,Skincare,USA,East,50.42,17,Debit Card,150.2,Dissatisfied
O00119,C6585,glee@gmail.com,Male,2024-03-03,Home,Kitchen,UK,East,442.25,5,Debit Card,554.77,Very Satisfied
O00120,C2336,rmoreno@hotmail.com,Female,2024-09-12,Beauty,Fragrance,Australia,South,305.5,14,PayPal,612.1,Very Dissatisfied
O00121,C2864,stephaniekrueger@gmail.com,Female,2024-08-03,Beauty,Skincare,UK,South,265.83,10,Credit Card,383.07,Very Dissatisfied
O00122,C1897,amanda00@lee.net,Male,2024-01-29,Clothing,Women,USA,West,383.26,10,PayPal,475.23,Dissatisfied
O00123,C8055,sevans@murray.com,Male,2024-06-20,Clothing,Women,USA,North,40.68,2,Net Banking,8.44,Very Satisfied
O00124,C6129,emily69@burns-lambert.biz,Other,2024-10-24,Beauty,Fragrance,Australia,South,148.31,13,Credit Card,565.38,Satisfied
O00125,C8538,duranbrian@gmail.com,Other,2025-06-02,Home,Furniture,Australia,East,125.44,19,Net Banking,488.09,Dissatisfied
O00126,C6083,maria38@velasquez.com,Other,2024-11-25,Home,Furniture,UK,West,42.81,4,UPI,34.59,Neutral
O00127,C6752,ymorrison@hotmail.com,Other,2023-12-01,Clothing,Men,India,West,131.7,6,UPI,103.18,Very Satisfied
O00128,C3902,lindseypatricia@rhodes.info,Other,2025-02-06,Beauty,Makeup,Australia,North,432.8,11,Debit Card,894.8,Dissatisfied
O00129,C8245,thomas62@moore.com,Other,2024-07-03,Home,Kitchen,India,North,256.13,10,Net Banking,487.63,Very Satisfied
O00130,C7041,halljames@norris.com,Female,2023-09-08,Electronics,Tablets,India,South,234.04,18,Credit Card,800.19,Very Dissatisfied
O00131,C4084,angelarodgers@kramer.com,Female,2024-07-04,Beauty,Fragrance,USA,East,228.01,11,Credit Card,503.9,Satisfied
O00132,C1641,kimberlyhenderson@kelly.org,Male,2024-06-05,Beauty,Makeup,USA,North,189.56,10,Net Banking,344.53,Neutral
O00133,C1857,kyliejimenez@gmail.com,Other,2024-02-17,Home,Furniture,UK,East,281.19,13,PayPal,549.78,Very Dissatisfied
O00134,C3463,pinedamichelle@hotmail.com,Female,2023-11-24,Electronics,Tablets,USA,North,158.56,13,Debit Card,451.44,Very Satisfied
O00135,C6072,liuhector@wright.org,Other,2023-10-07,Beauty,Fragrance,UK,West,336.71,17,Credit Card,1311.99,Dissatisfied
O00136,C9331,zmoore@hotmail.com,Female,2025-06-27,Electronics,Laptops,UK,West,475.83,11,Net Banking,724.41,Satisfied
O00137,C3538,adkinsrebekah@romero.net,Male,2024-06-03,Home,Furniture,India,North,438.81,20,Debit Card,1925.93,Satisfied
O00138,C3658,csmith@roberts.biz,Male,2024-08-10,Clothing,Children,Australia,East,208.38,8,Net Banking,370.28,Dissatisfied
O00139,C4833,alexis34@mayer-farmer.com,Other,2024-07-01,Clothing,Women,Australia,West,187.08,19,Net Banking,683.66,Neutral
O00140,C7256,ghendrix@hess.biz,Other,2024-02-10,Beauty,Skincare,USA,West,437.14,2,Net Banking,240.27,Very Dissatisfied
O00141,C2680,lisascott@yahoo.com,Other,2024-04-23,Electronics,Laptops,India,West,140.03,17,Debit Card,633.71,Very Satisfied
O00142,C4637,maryparsons@gmail.com,Female,2023-10-18,Home,Furniture,Australia,East,201.24,12,Debit Card,428.0,Very Satisfied
O00143,C7142,nsmith@werner-thompson.biz,Male,2023-11-15,Electronics,Laptops,India,North,396.73,5,Credit Card,312.18,Dissatisfied
O00144,C3273,ritterrichard@jones.com,Other,2025-04-15,Beauty,Makeup,India,East,14.41,7,Debit Card,21.16,Very Dissatisfied
O00145,C9647,matthewporter@ferguson.biz,Female,2023-07-30,Electronics,Laptops,USA,North,65.31,8,Net Banking,119.02,Very Dissatisfied
O00146,C8489,browndawn@davis.com,Male,2024-03-13,Electronics,Laptops,India,West,360.68,10,Net Banking,361.81,Neutral
O00147,C4941,rosariostephanie@gmail.com,Other,2023-10-23,Beauty,Skincare,India,North,38.5,17,UPI,131.86,Very Dissatisfied
O00148,C1333,sfischer@hotmail.com,Female,2025-05-09,Beauty,Skincare,Australia,North,130.56,1,PayPal,33.65,Neutral
O00149,C4950,murphyjames@collins.com,Other,2023-11-20,Electronics,Tablets,UK,West,26.95,18,PayPal,127.44,Satisfied
O00150,C8612,robertjones@hotmail.com,Other,2023-10-21,Beauty,Fragrance,USA,West,36.23,15,Credit Card,86.24,Very Satisfied
O00151,C4268,aprilconway@jimenez.com,Male,2024-01-14,Home,Kitchen,Australia,South,130.39,7,PayPal,156.44,Very Satisfied
O00152,C6438,christianrobinson@gmail.com,Female,2024-05-29,Electronics,Laptops,Australia,South,372.94,13,PayPal,1428.99,Dissatisfied
O00153,C9151,jenniferthompson@thornton.com,Female,2024-02-17,Home,Furniture,Australia,East,218.15,6,UPI,207.79,Very Satisfied
O00154,C2311,paulfields@gmail.com,Female,2024-06-01,Home,Kitchen,Australia,South,87.49,15,PayPal,248.59,Neutral
O00155,C8126,ejohnson@yahoo.com,Female,2025-03-28,Electronics,Smartphones,Australia,North,258.98,6,Credit Card,199.76,Very Dissatisfied
O00156,C8179,darrenrussell@hotmail.com,Male,2024-10-26,Clothing,Men,USA,North,184.26,19,Credit Card,773.77,Dissatisfied
O00157,C7077,guerrerojustin@barnett-cooper.net,Female,2023-11-14,Beauty,Skincare,USA,North,202.03,9,Debit Card,531.12,Very Satisfied
O00158,C4048,peggyhodge@jennings.com,Female,2025-06-11,Beauty,Fragrance,India,North,388.61,15,Debit Card,1744.51,Neutral
O00159,C9047,susanalexander@rivera-newton.com,Male,2025-03-02,Electronics,Smartphones,India,South,90.46,15,Credit Card,355.65,Neutral
O00160,C6692,clarkjohn@yahoo.com,Other,2024-03-04,Electronics,Tablets,UK,North,426.42,6,PayPal,516.18,Very Satisfied
O00161,C4292,fcox@yahoo.com,Male,2024-02-11,Clothing,Women,India,North,279.24,12,Net Banking,873.68,Very Dissatisfied
O00162,C3126,timothystrong@turner.com,Other,2024-09-12,Electronics,Smartphones,UK,South,499.8,16,UPI,1456.69,Dissatisfied
O00163,C2208,matthewharris@gmail.com,Male,2024-07-30,Home,Decor,India,South,235.59,17,PayPal,503.3,Very Dissatisfied
O00164,C3981,richardmichelle@gmail.com,Male,2024-01-20,Beauty,Fragrance,India,East,261.46,10,Debit Card,346.16,Satisfied
O00165,C6669,travis46@payne-roth.com,Other,2024-08-31,Home,Furniture,UK,West,319.35,18,PayPal,718.73,Neutral
O00166,C9740,pachecoemily@fischer.info,Male,2024-12-06,Clothing,Children,USA,West,331.07,20,PayPal,1777.89,Very Dissatisfied
O00167,C1674,richardfaulkner@hotmail.com,Male,2024-05-06,Electronics,Smartphones,UK,West,384.64,14,UPI,1226.68,Dissatisfied
O00168,C9938,ctorres@travis.com,Female,2024-07-01,Home,Kitchen,USA,South,152.23,3,Credit Card,60.11,Dissatisfied
O00169,C8933,rperez@yahoo.com,Female,2023-10-23,Clothing,Women,USA,North,431.44,11,PayPal,1400.38,Satisfied
O00170,C7070,jamie44@gmail.com,Other,2024-09-08,Electronics,Laptops,USA,South,65.65,15,Debit Card,126.22,Very Satisfied
O00171,C5754,josephevans@smith.biz,Female,2024-03-19,Beauty,Skincare,USA,North,467.21,11,Debit Card,1298.31,Dissatisfied
O00172,C9433,rlittle@hotmail.com,Female,2024-04-21,Beauty,Makeup,Australia,East,49.57,13,UPI,123.37,Satisfied
O00173,C4524,adam17@grant-leonard.com,Other,2025-02-18,Home,Furniture,India,North,249.97,16,PayPal,829.25,Very Satisfied
O00174,C8060,william27@blanchard.com,Male,2025-01-27,Home,Decor,UK,South,186.14,13,Credit Card,517.98,Satisfied
O00175,C6939,millerlisa@jackson.biz,Other,2023-07-27,Home,Furniture,Australia,South,383.38,9,UPI,814.57,Very Satisfied
O00176,C3108,kleinariel@gmail.com,Male,2025-04-01,Beauty,Makeup,UK,North,378.71,7,UPI,535.03,Very Dissatisfied
O00177,C1659,jamesalvarez@yahoo.com,Male,2024-04-16,Electronics,Smartphones,UK,South,262.07,5,UPI,365.1,Satisfied
O00178,C6373,garciabarry@thomas.com,Other,2025-01-09,Home,Furniture,Australia,North,298.89,17,UPI,1049.09,Very Dissatisfied
O00179,C5911,wilkinsonelizabeth@lopez.com,Female,2024-05-28,Electronics,Laptops,UK,East,490.05,19,PayPal,2414.8,Very Satisfied
O00180,C8775,jeffreylawson@hawkins-stewart.biz,Female,2024-04-19,Clothing,Children,India,South,89.4,20,Net Banking,231.64,Satisfied
O00181,C1517,cory73@williams.com,Other,2024-10-24,Electronics,Smartphones,India,South,160.28,5,Net Banking,190.81,Dissatisfied
O00182,C9221,alison85@hotmail.com,Other,2023-11-19,Beauty,Fragrance,India,West,261.75,18,PayPal,1411.68,Dissatisfied
O00183,C9609,anthony90@braun.com,Female,2025-02-05,Home,Furniture,Australia,North,275.41,9,UPI,487.9,Satisfied
O00184,C5571,brandon28@george.info,Other,2024-02-19,Home,Furniture,UK,North,353.93,16,PayPal,1109.7,Very Dissatisfied
O00185,C5480,jennifer98@hotmail.com,Female,2023-10-04,Electronics,Tablets,Australia,South,410.1,5,PayPal,222.3,Very Satisfied
O00186,C6674,melissa70@gmail.com,Female,2025-03-23,Home,Decor,Australia,West,105.02,18,PayPal,541.79,Neutral
O00187,C3249,isaiah49@gmail.com,Male,2023-10-29,Clothing,Men,India,West,320.78,2,Credit Card,117.19,Dissatisfied
O00188,C2647,stephenhammond@hotmail.com,Other,2023-11-23,Clothing,Men,USA,South,328.18,16,Net Banking,1208.27,Neutral
O00189,C6262,laura11@gmail.com,Female,2025-01-29,Electronics,Smartphones,USA,East,457.05,6,Net Banking,758.11,Satisfied
O00190,C1595,millerryan@gmail.com,Female,2023-10-25,Beauty,Skincare,UK,East,9.59,19,UPI,22.13,Neutral
O00191,C5662,joshuahowell@page.com,Female,2024-05-08,Beauty,Skincare,Australia,North,100.44,4,PayPal,53.23,Dissatisfied
O00192,C5215,nmcfarland@gmail.com,Other,2024-07-19,Clothing,Men,UK,North,286.05,7,Debit Card,444.9,Dissatisfied
O00193,C8007,john48@jones.com,Other,2024-06-22,Home,Furniture,Australia,East,96.47,5,Net Banking,79.45,Satisfied
O00194,C1111,ashleywilliams@mayer.com,Female,2024-03-20,Beauty,Skincare,Australia,North,477.25,10,UPI,1167.24,Very Satisfied
O00195,C5285,stevenhardy@klein.com,Other,2023-07-23,Home,Decor,USA,East,335.55,15,PayPal,664.1,Very Dissatisfied
O00196,C6095,rebecca66@yahoo.com,Other,2025-02-23,Electronics,Tablets,UK,North,309.24,8,Debit Card,483.99,Dissatisfied
O00197,C7121,hernandezelizabeth@nelson-navarro.com,Female,2023-08-12,Beauty,Fragrance,USA,West,341.77,20,Credit Card,1401.95,Very Dissatisfied
O00198,C6927,bstevens@lucero-rubio.com,Male,2025-05-19,Electronics,Smartphones,USA,West,86.45,17,Net Banking,181.13,Satisfied
O00199,C9008,dbrennan@gmail.com,Male,2024-04-03,Beauty,Skincare,Australia,West,259.06,15,UPI,433.46,Dissatisfied
O00200,C6049,briannolan@williams-jackson.com,Other,2024-07-14,Electronics,Laptops,UK,East,374.17,19,Credit Card,775.32,Neutral
O00201,C2044,smarsh@wallace.com,Other,2024-02-05,Electronics,Smartphones,Australia,East,147.11,6,Debit Card,223.46,Dissatisfied
O00202,C7135,fhernandez@hotmail.com,Female,2024-03-23,Beauty,Makeup,Australia,East,342.95,18,Debit Card,1424.18,Neutral
O00203,C2943,iallen@hotmail.com,Male,2025-04-04,Beauty,Fragrance,USA,West,418.24,1,PayPal,80.55,Very Dissatisfied
